"sample_id","source_record_id","ein","name","bucket","ntee","metadata_signal_score","selection_hash","exact_contract_matches","contract_ids","contract_scope","local_relevance","plausible_intervention","decision","reason","primary_url","primary_checked","primary_finding","review_status","population","dose","cost_anchor","utility_bridge","funding_room_usd","priority_rank"
"11","irs:994848812","994848812","HEALTH STARTS HERE","clinical","E99","1","1f28b9bbc1b0c9552d7f0a69d89ee6f3b8f75df892414bd9ff1a417a6e052cb8","0","","","SF IRS filing address only; actual Bay delivery unknown","Broad health name provides no clinical dose; identity/program check needed.","priority-for-identity-and-program-check","Broad health name provides no clinical dose; identity/program check needed. Name/scope has a routing signal, not verified causal evidence. Revenue missing; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"12","irs:941461312","941461312","DELTA DENTAL OF CALIFORNIA","clinical","E30","1","1f4829a83133575f806b225eb2b4fbad0af659db39e549e563d59570d342a44e","0","","","SF IRS filing address only; actual Bay delivery unknown","Dental insurer: separate coverage administration from charitable treatment.","defer-scope-or-role","Dental insurer: separate coverage administration from charitable treatment. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"13","irs:454172480","454172480","BAYVIEW IMANI BREAST CANCER SUPPORT GROUP","clinical","E60","1","2739dfd9aaaaa719051f53adf058c91c315d6805bc2dfaec34ac020351de5976","0","","","SF IRS filing address only; actual Bay delivery unknown","Breast-cancer support group: psychosocial pathway possible, comparative utility unknown.","priority-for-identity-and-program-check","Breast-cancer support group: psychosocial pathway possible, comparative utility unknown. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"14","irs:942722663","942722663","FAMILY HOUSE INC","clinical","E860","1","2a43cb510d452ca689cdb225d767f0f3ff043025f95737e6221ca821fb367cdd","0","","","SF IRS filing address only; actual Bay delivery unknown","Family lodging hypothesis: accommodation may support pediatric treatment; do not assume cure effect.","priority-for-identity-and-program-check","Family lodging hypothesis: accommodation may support pediatric treatment; do not assume cure effect. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"15","irs:474472730","474472730","BREAST CANCER OVER TIME","clinical","E86","1","2b7aca836afde13427704ecfa1623a79b1a75db81e04fe8cb91f60a68cbadc02","0","","","SF IRS filing address only; actual Bay delivery unknown","Cancer-related entity: establish research, advocacy or direct care role.","priority-for-identity-and-program-check","Cancer-related entity: establish research, advocacy or direct care role. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"16","irs:942536500","942536500","BERNAL HEIGHTS NEIGHBORHOOD CENTER","basic","P28Z","2","1f693b5f1b7c5dd3a1a2895c1f39cd6732b73bb47bd6cef9e4af145b4eb738d6","3","1000029942|1000029943|1000029944","HSA- CommSVC- Cortland | HSA- CommSVC- Excelsior | HSA- Mobile Senior SVCs","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Neighborhood-center contract: isolate senior support or family intervention.","priority-for-identity-and-program-check","Neighborhood-center contract: isolate senior support or family intervention. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"17","irs:942152893","942152893","CHINESE NEWCOMERS SERVICE CENTER","basic","P84Z","2","278ee8f2566152b3204d8c9b610c2febe91fe0cd2facaea25e2cba60da4993ba","1","1000038648","HSA-Annual Chinatown Food Dist","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Newcomer service access: language navigation could remove care barriers.","priority-for-identity-and-program-check","Newcomer service access: language navigation could remove care barriers. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"18","irs:943213100","943213100","TIDES CENTER","basic","P20","2","27b6eb6e78a9a3976220de14c5e55381ea7ab731defb3977ebe4daddaaaba080","14","1000027666|1000028213|1000030572|1000032404|1000032555|1000032585|1000032653|1000034379|1000035226|1000036195|1000036624|1000036732|1000037795|1000038148","TIDES - 1321 ML&PM | ECN CERF Convener | CHF_PSC_TACB_FY23-24 | DPH - Overdose Prevention | CHF-GA-Youth Env Ed-24-29 | CHF-GA-Productive Adult-24-29 | CHF-GA-HS Arts Prog-24-29 | CHF_TA/CB_PSC_FY24-25 | ART-CIP-25SPX02 GRANT | M. Youth Art Exchange (Tides C | J. PODER (Tides Center) | D. Community Grows (Tides) | Hummingbird Urban Demo Farm | ADMNB: Hummingbird Farm Commun","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Fiscal-sponsor hypothesis: identify underlying project and avoid sponsor-level CEA.","priority-for-identity-and-program-check","Fiscal-sponsor hypothesis: identify underlying project and avoid sponsor-level CEA. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"19","irs:201719535","201719535","ASIANWEEK FOUNDATION","basic","P84","2","29562e4f7daa49f7312c18845174c89ca30be2cda4f4a92d64389522f99f9668","3","1000028830|1000032503|1000039089","HSA/Farming Tow. Food Security | CHF-GA-Florence Fang Com-24-29 | AIR-MARKET.COMM SPONSORSHIP","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Foundation with contract: identify event, grantmaking or direct-service component.","priority-for-identity-and-program-check","Foundation with contract: identify event, grantmaking or direct-service component. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"20","irs:941753722","941753722","MISSION HOUSING DEVELOPMENT CORP","basic","L210","2","3e4c74769380ad9416505d7806851fb517a3debf697e4f08efe119108d92c94b","18","1000007496|1000007809|1000007985|1000007986|1000007987|1000007988|1000007989|1000007990|1000012172|1000013756|1000020551|1000021375|1000021949|1000024855|1000037772|1000037845|1000037846|1000038281","Unspecified | Unspecified | Unspecified | Unspecified | Unspecified | Unspecified | Unspecified | Unspecified | Unspecified | MHDC - 2524 Mission Prop Mgmt | MHDC - HUD ISN | MHDC - Juan Pifarre | MHDC - South Park | MYR- SFHA Scattered Sites | MHDC-EMP-South Park | MHDC - Apollo | MHDC - EMP -  Altamont | ADMNB: Wiese Alley Youth Mural","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Housing development: distinguish property ownership from added tenancy support.","priority-for-identity-and-program-check","Housing development: distinguish property ownership from added tenancy support. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"21","irs:943300090","943300090","FILIPINO-AMERICAN DEVELOPMENT FOUNDATION","basic","P840","2","3f86fabe90b24d46312b384a870a6e4b7b0c1119a5106e39b70c69e6cd292443","9","1000032551|1000032557|1000032593|1000037199|1000037204|1000037236|1000037375|1000037984|1000037994","CHF-GA-Filipino Edu Cent-24-29 | CHF-GA-Kabataan-24-29 | CHF-GA-Middle & HS-24-29 | MYR-246197-25 | MYR-246227-25 | MYR-246227-25 | ADMCE:Community Engage&Support | MYR-258796-25 | ART-CIP-26SPX01 GRANT","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Community foundation: identify recipient-facing service versus sponsor role.","priority-for-identity-and-program-check","Community foundation: identify recipient-facing service versus sponsor role. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"22","irs:943101292","943101292","ON LOK DAY SERVICES","basic","P810","2","5b05535a503da75b3de93b83f5049aa0b01472b14c1f60e3a63a2927db264113","9","1000029875|1000029876|1000033042|1000033461|1000036394|1000036404|1000036405|1000036409|1000036410","DAS Case Management FY23-27 | DAS Community Services FY23-27 | ADRC FY 24-26 | ADP | HSA - Cong Meals ENP FY25-29 | HSA - To-Go Meal ENP FY25-29 | HSA - ENP HDM FY25-29 | HSA - Cong Meals ENP FY25-29 | HSA - OAA Title IIID FY25-29","Primary source supports SF/Bay service; EIN-to-website legal linkage not independently certified","Older-adult physical activity: investigate specific falls-prevention dose.","priority-program-diligence","Older-adult physical activity: investigate specific falls-prevention dose. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","https://www.sfhsa.org/services/disability-aging/health-promotion","2026-09-08","SFHSA identifies On Lok30thStreet as Always Active health-promotion provider. Separate from PACE and Openhouse joint day services. New funded course and fall-specific dose unknown.","primary-service-checked-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","","5"
"23","irs:873605990","873605990","REOPTIMA FAMILY RESOURCE CENTER INC","basic","P20","2","5f0018bf0c754ef5837eb24ba8dda46351662297d7fd4c20b985a5027467e920","2","1000036853|1000037480","T&TA and Rating Assessment | Connecting Point Grant","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Family resource center: identify parenting or mental-health course.","priority-for-identity-and-program-check","Family resource center: identify parenting or mental-health course. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"24","irs:850498939","850498939","SF NEW DEAL","basic","P20","2","6c46e42c568b7d267e5d85223056df4d00fbe1f8d074d46294fbf97f079a8fa1","6","1000028158|1000028500|1000032750|1000032760|1000035708|1000036455","ECN Pop-up Acceleration & TA | ECN DK Small Business Grant Pr | ECN SF Shines Citywide | ECN Small Business Accessible | ECN DT PopUp Act | HSA/CFAT/Community Meal Progs","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Local food/business support: separate producer subsidy from recipient health.","priority-for-identity-and-program-check","Local food/business support: separate producer subsidy from recipient health. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"25","irs:942604543","942604543","SOUTHEAST ASIAN COMMUNITY CENTER","basic","P84Z","2","782fe5b66953d06a06989116e34258e3e09584c61b9cfecb5dfa8a448efded9d","1","1000037290","ADMCE:Community Engage&Support","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Culturally accessible center: select clinical or basic-needs service from scope.","priority-for-identity-and-program-check","Culturally accessible center: select clinical or basic-needs service from scope. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"26","irs:941690098","941690098","CROSS CULTURAL FAMILY CENTER","basic","P33Z","2","7e18f3382ecd564306ac04b5116b7f3d16afb66a881a574af5101e0a8e5b81af","2","1000032673|1000038106","CHF-GA-School Age Progra-24-29 | MYR Cross Cultural Family Ctr","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Family/child care: health pathway requires more than developmental outcomes.","priority-for-identity-and-program-check","Family/child care: health pathway requires more than developmental outcomes. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"27","irs:680566329","680566329","BUENA VISTA CHILD CARE INC","basic","P33","2","903f6f8e8533017b85b81f19669bba099354ef2343b8f29dba641f999048ce12","1","1000032516","CHF-GA-Comp Afterschool-24-29","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Childcare provision: identify explicit injury, nutrition or mental-health component.","priority-for-identity-and-program-check","Childcare provision: identify explicit injury, nutrition or mental-health component. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"28","irs:943141608","943141608","RAPHAEL HOUSE OF SAN FRANCISCO INC","basic","P200","2","99067ba746b165c38e2ba786ee77eeba334ad2b4c5f39dd2a5c8bdabb588d59f","1","1000036961","Raphael House - Family Shelter","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Family shelter: measure added housing/health versus existing pathway.","priority-for-identity-and-program-check","Family shelter: measure added housing/health versus existing pathway. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"29","irs:942922453","942922453","CHARITY CULTURAL SERVICES CENTER","basic","P200","2","aa33aebd5d0c0cc505df82a78000e8e2cef665709c357ea4ff0c9cb1b19a3bb0","1","1000032521","CHF-GA-Summer Camp-24-29","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Cultural services: separate language/job instruction from clinical support.","priority-for-identity-and-program-check","Cultural services: separate language/job instruction from clinical support. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"30","irs:943112338","943112338","COMMUNITY HOUSING PARTNERSHIP","basic","L410","2","b15dd67a0ac43bf030b22d6ccd8889a6c3fedd9c978fbea80c28d050016a9a16","14","1000007430|1000007822|1000009321|1000010829|1000018411|1000018414|1000018415|1000018416|1000021501|1000025900|1000025915|1000036025|1000036979|1000037556","Unspecified | Unspecified | Unspecified | DPH- CHP 2021-22 AM-1 | HOM - CHP - Arnett Watson Apts | Essex Hotel, Zygmunt Arendt Ho | HOM - CHP - Prop 63 | HOM-CHP - Treasure Island IBH | CHP - Scattered Sites - CoC | HomeRise - 53 Colton | HomeRise - MBS9 | HomeRise - Tenant Services | Unspecified | Unspecified","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Supportive-housing name: verify current alias and property/service entity.","priority-for-identity-and-program-check","Supportive-housing name: verify current alias and property/service entity. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"31","irs:942174237","942174237","MISSION LANGUAGE & VOCATIONAL SCHOOL","youth","J220","2","153da9565639087e185e9c5ccea0f71e8058a35449c84daf3056ddc9d8d81655","5","1000032603|1000033211|1000037296|1000037930|1000037933","CHF-GA-June Jordan-24-29 | MYR-203896-23 | CHF-GA-LTFAS-25-29 | CHF-AlasDeLaLibertad-26-29 | CHF-LTFFamilyWellness-26-29","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Vocational instruction: earnings not QALYs; seek health-relevant comparator.","priority-for-identity-and-program-check","Vocational instruction: earnings not QALYs; seek health-relevant comparator. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"32","irs:010777856","010777856","LITERACY FOR ENVIRONMENTAL JUSTICE","youth","O52","2","18fd29914140da8cbc0fb20f0c2e000c4a73c75e1fd748e818097dc7f420d3e3","1","1000028831","Procure Marsh Restoration","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Environmental education: distinguish exposure remediation from awareness.","priority-for-identity-and-program-check","Environmental education: distinguish exposure remediation from awareness. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"33","irs:331787605","331787605","COMMUNITY SCHOOLS LEARNING EXCHANGE","youth","B90","2","5c0e22e379c95d1532cbca5617ed6db217d2afd1547a198459897f55acb43b41","1","1000038498","CHF_PSC_24TACB-SA1_FY25-26","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","School-system improvement intermediary: no direct health intervention established.","priority-for-identity-and-program-check","School-system improvement intermediary: no direct health intervention established. Name/scope has a routing signal, not verified causal evidence. Revenue zero; not inactivity.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"34","irs:943146532","943146532","SOUTH OF MARKET CHILD CARE INC","youth","B99Z","2","68a31fa35dcec7a9b7cd866b7364ec4768f4d2beb11f8e6b30f9eae3b6721563","2","1000033065|1000036777","DEC 24-02 FRC Initiative | DEC ECE TTA","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Childcare: test narrow nutrition, safety or parenting mechanism.","priority-for-identity-and-program-check","Childcare: test narrow nutrition, safety or parenting mechanism. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"35","irs:562379862","562379862","BRILLIANT CORNERS","youth","B90","2","696f5641ff0df2f4155c8c160c4e3c41ed76a3f78d40ca3004d96af9eb44f4d6","5","1000021388|1000022893|1000024537|1000028386|1000038338","Prop C - Housing Loc & RA | BC - FHSP & Housing Ladder | Brilliant Corners - EHV | HSA-DAS-SSHRSA FY23-27 | BC - FHSP","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Classification may misroute housing/support provider as youth; resolve program.","priority-for-identity-and-program-check","Classification may misroute housing/support provider as youth; resolve program. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"36","irs:611463809","611463809","CALIFA GROUP","youth","B99","2","94d96bb69429754ad972d905d3890c6da777d88eb9e4e6653f9b0615b5999fc4","5","1000033283|1000033962|1000035212|1000035214|1000036204","Northstar Services | LinkedIn, Wall St for Library | Bundled Online Resources | O'Reilly | NY Times","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Library consortium: defer absent specific accessible-health intervention.","priority-for-identity-and-program-check","Library consortium: defer absent specific accessible-health intervention. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"37","irs:943349377","943349377","JEWISH COMMUNITY HIGH SCHOOL OF THE BAY","youth","B25","1","032fc9bcdfad9cf52b7db5efabec8c7c2748d62b61f20d1ad4d3182eb3e4ee8c","0","","","SF IRS filing address only; actual Bay delivery unknown","School education: no causal health mechanism specified by metadata.","priority-for-identity-and-program-check","School education: no causal health mechanism specified by metadata. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"38","irs:465306699","465306699","CALSO COMMUNITY INC","youth","J20","1","03bf3678cca9743e2ce2096eae04a15209a604feb82a906387ed20c3bd05bfec","0","","","SF IRS filing address only; actual Bay delivery unknown","Community organization: unclear program; resolve before priority upgrade.","priority-for-identity-and-program-check","Community organization: unclear program; resolve before priority upgrade. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
"39","irs:461849368","461849368","SCHOLASTIC INTEREST GROUP FOUNDATION INC","youth","O50","1","040457f63ca9d23f1457ee19c8d252aaa1d32e4e45e4e7163969843034b23452","1","1000032594","CHF-GA-Genesis-24-29","SF filing address plus exact-normalized-name SF prime-contract signal; legal identity/service delivery unverified","Education foundation: grantmaking versus instruction unclear.","priority-for-identity-and-program-check","Education foundation: grantmaking versus instruction unclear. Name/scope has a routing signal, not verified causal evidence. Revenue not used to rank.","","no","","metadata-screened-not-CEA","Unknown unless specified by name/scope; not verified","unknown","none: contract authority is not marginal cost","not evaluated","",""
